طابع زمني,   ما هو معدلك التوجيهي ؟,   ما هو تخصصك الجامعي الحالي؟  (عربي فقط),"   ما مدى اهتمامك بالتكنولوجيا (عندما اخترت تخصصك)  ؟
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بالمجال الصحي والطبي (عندما اخترت تخصصك)
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بمجال الأعمال والإدارة (عندما اخترت تخصصك) ؟
(1= ضعيف جدا ) / (5 = عالي جدا)","  ما مدى اهتمامك بالمجالات الفنية والإبداعية  (عندما اخترت تخصصك) ؟   
(1= ضعيف جدا) / (5 = عالي جدا)","   أي وصف يعبّر أكثر عن أسلوب تفكيرك (عندما اخترت تخصصك)
",كيف بتشوف شخصيتك كانت  (عندما اخترت تخصصك) ؟,  أي نوع دراسة تفضّل؟ ,  ما أسلوب العمل الذي تفضّله؟  ,"   ما مدى رضاك عن تخصصك الجامعي الحالي؟  راضٍ جدًا / راضٍ / محايد /غير راضٍ
(1=راض جدا) / (4 = غير راض) ",هل لو كان عندك نظام ذكي يرشدك قبل الجامعة، هل كان ممكن يغيّر اختيارك للتخصص؟ 
2:07:33 م 2026/01/03,76,تكنولوجيا معلومات الاعمال ,3,2,4,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
2:16:59 م 2026/01/03,76,ادارة المياه والبيئة,3,1,3,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,نعم
5:52:45 م 2026/01/03,76,ارشاد نفسي,3,1,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
9:39:29 م 2026/01/03,76,اللغه العربيه ,3,2,2,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
10:59:31 م 2026/01/02,77,إدارة وتدريب رياضي ,5,4,3,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,نعم
11:20:28 م 2026/01/02,77,تقنيات وقاية ومكافحة متكاملة ,2,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,العمل الفردي,2,لا
11:39:59 م 2026/01/02,77,كيمياء,4,3,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,نعم
2:38:58 ص 2026/01/03,77,علوم ماليه ومصرفيه ,3,1,5,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,2,نعم
7:50:40 ص 2026/01/03,77,نظم معلومات حاسوبيه,5,1,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
12:59:19 م 2026/01/03,77,مختبرات طبية,3,4,2,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
4:14:58 م 2026/01/03,77,نظم معلومات حاسوبية ,4,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,لا
6:33:29 م 2026/01/03,77,كيمياء,2,3,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,نعم
4:18:31 م 2026/01/03,77٫7,إدارة مياه وبيئه هندسه زراعيه,4,3,4,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
12:23:02 ص 2026/01/03,78,تكنولجيا المعلومات,5,3,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,نعم
5:45:50 ص 2026/01/03,78,علم البيانات و الذكاء الاصطناعي ,2,4,1,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
11:38:48 ص 2026/01/03,78,الذكاء الاصطناعي وعلم البيانات,1,1,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,4,نعم
11:58:04 ص 2026/01/03,78,تمريض ,4,5,3,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,4,نعم
1:41:15 م 2026/01/03,78,علم بيانات ,4,1,1,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,4,نعم
1:55:09 م 2026/01/03,78,تصميم داخلي ,5,4,3,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
5:03:12 م 2026/01/03,78,علم بيانات وذكاء اصطناعي ,2,3,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,3,نعم
6:20:14 م 2026/01/03,78,علم حاسوب,5,1,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,3,نعم
11:21:08 م 2026/01/02,79,امن المعلومات والادلة الرقمية,4,3,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
11:22:26 م 2026/01/02,79,كيمياء ,3,5,2,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
11:44:52 م 2026/01/02,79,امن سيبراني ,3,1,2,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,نعم
12:13:16 ص 2026/01/03,79,انضمة معلومات حاسوبية,4,3,4,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
12:05:14 م 2026/01/03,79,علم المحافظة على الاثار ,3,3,3,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,لا
1:46:23 م 2026/01/03,79,كيمياء,2,3,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
2:15:48 م 2026/01/03,79,تسريق,4,2,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
2:46:14 م 2026/01/03,79,اقتصاد مالي,2,1,4,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
4:08:29 م 2026/01/03,79,علاج وظيفي,2,5,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
8:54:47 م 2025/12/31,80,علم حاسوب,4,2,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
10:48:15 م 2026/01/02,80,ذكاء الاصطناعي ,4,3,2,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
11:21:01 م 2026/01/02,80,ترجمه ,3,5,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,نعم
11:43:49 م 2026/01/02,80,انظمه معلومات حاسوبيه,3,3,2,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:13:03 ص 2026/01/03,80,Cis,5,1,3,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,لا
1:12:38 ص 2026/01/03,80,هندسة برمجيات,5,1,2,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,4,لا
2:18:41 ص 2026/01/03,80,التربية الخاصه ,3,1,1,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
2:55:39 ص 2026/01/03,80,ذكاء اصطناعي وعلم بيانات,1,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
12:07:38 م 2026/01/03,80,علم التمريض ,3,5,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
12:41:58 م 2026/01/03,80,تغذيه سرير يه و حميات ,3,5,3,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
1:27:57 م 2026/01/03,80,جيولوجيا,4,5,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
1:31:43 م 2026/01/03,80,امن سبراني,3,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,نعم
2:04:27 م 2026/01/03,80,اللغه الصينيه والانجليزيه ,5,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,الاثنين معا,2,لا
2:13:57 م 2026/01/03,80,علم حاسوب,3,4,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
2:30:02 م 2026/01/03,80,تربية خاصة,3,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
3:42:15 م 2026/01/03,80,مهندس حاسوب ,3,1,2,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,2,لا
4:04:15 م 2026/01/03,80,إدارة المخاطر و التأمين ,2,1,5,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,2,نعم
4:38:40 م 2026/01/03,80,جغرافيا,3,1,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
8:42:03 م 2026/01/03,80,اقتصاد مالي,4,4,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,2,نعم
8:41:28 م 2025/12/31,81,علم بيانات وذكاء اصطناعي ,3,2,2,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,نعم
12:30:15 ص 2026/01/03,81,علم بيانات,1,5,1,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
12:02:56 م 2026/01/03,81,علم حاسوب ,4,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:20:22 م 2026/01/03,81,نانوتكنلوجي وعلم مواد ,3,2,2,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,نعم
12:25:10 م 2026/01/03,81,هندسة كهرباء,5,3,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,نعم
12:55:35 م 2026/01/03,81,هندسه ميكاترونكس ,3,3,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
2:24:19 م 2026/01/03,81,تكنولوجيا معلومات ,3,4,2,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
4:02:19 م 2026/01/03,81,تكنولوجيا حيوية ,4,5,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,لا
4:51:23 م 2026/01/03,81,الإدارة والتدريب الرياضي ,3,3,3,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
6:00:00 م 2026/01/03,81,سمع ونطق,3,5,1,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,لا
1:46:42 م 2026/01/03,81٫1,علوم ماليه ومصرفيه,2,1,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
12:50:09 م 2026/01/03,81٫8,التربية الخاصة ,4,4,5,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
9:52:02 م 2026/01/02,82,سايبر ,1,4,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
11:43:03 م 2026/01/02,82,هندسة حاسوب ,1,3,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,2,نعم
12:32:58 ص 2026/01/03,82,85,2,4,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,لا
1:46:37 ص 2026/01/03,82,رياضيات,4,5,3,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
8:02:13 ص 2026/01/03,82,علاقات دولية,3,2,3,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
9:25:37 ص 2026/01/03,82,هندسة الحاسوب ,5,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
12:34:15 م 2026/01/03,82,ادبي,3,4,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,نعم
12:45:36 م 2026/01/03,82,معلم صف,4,2,3,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),نظري,العمل الفردي,2,نعم
1:16:46 م 2026/01/03,82,معلم صف ,5,5,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
1:34:08 م 2026/01/03,82,نظم معلومات ادارية,4,1,5,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
